Node,Role,Relationship,Request,family_role,family,arrested
N50,member family ''Batanesi'',,arrested,member,Batanesi,1
N51,member family ''Batanesi'',,arrested,member,Batanesi,1
N52,enterpreneur,,arrested,enterpreneur,Unknown,1
N54,enterpreneur,,arrested,enterpreneur,Unknown,1
N55,member family ''Barcellona Pozzo di Gotto'',,,member,Barcellona Pozzo di Gotto,0
N56,,wife of an inmate,arrest request denied,,,0
N57,,daughter of an inmate,uninvolved,,,0
N59,enterpreneur,,,enterpreneur,Unknown,0
N60,,brother of 59,,,,0
N61,executive family ''Mistretta'',,arrested,executive,Mistretta,1
N62,enterpreneur,,arrested,enterpreneur,Unknown,1
N63,enterpreneur,,arrested,enterpreneur,Unknown,1
N64,enterpreneur,,arrested,enterpreneur,Unknown,1
N65,enterpreneur,,,enterpreneur,Unknown,0
N66,enterpreneur,,arrested,enterpreneur,Unknown,1
N67,enterpreneur,,arrested,enterpreneur,Unknown,1
N68,executive family ''Batanesi'',,arrested,executive,Batanesi,1
N69,enterpreneur,,,enterpreneur,Unknown,0
N70,member family ''Batanesi'',,arrested,member,Batanesi,1
N71,enterpreneur,,,enterpreneur,Unknown,0
N72,construction worker,,lack of evidence,construction worker,Unknown,0
N73,,mother of 74 and wife of 22,,,,0
N74,,son of 22,,,,0
N75,member family ''Mistretta'',,arrested,member,Mistretta,1
N76,enterpreneur,external partnership,arrested,enterpreneur,Unknown,1
N77,member family ''Mistretta'',,arrested,member,Mistretta,1
N78,,sighted with 22 and 18,,,,0
N79,enterpreneur,external partnership,,enterpreneur,Unknown,0
N80,enterpreneur,,arrested,enterpreneur,Unknown,1
N81,,sighted with 80 and 82,,,,0
N82,,sighted with 80 and 81,,,,0
N83,,sighted with 15 and 79,,,,0
N84,enterpreneur,external partnership,,enterpreneur,Unknown,0
N85,enterpreneur,external partnership,arrested,enterpreneur,Unknown,1
N86,enterpreneur,sighted with 87,,enterpreneur,Unknown,0
N87,enterpreneur,sighted with 85,,enterpreneur,Unknown,0
N88,,sighted with 25 and 26,,,,0
N89,member family ''Batanesi'',,arrested,member,Batanesi,1
N90,member family ''Batanesi'',,,member,Batanesi,0
N91,car electrician,in contact with 36,,car electrician,Unknown,0
N92,lawyer,in contact with 91 and 36,,lawyer,Unknown,0
N93,,sighted with various members of families,,,,0
N94,,sighted with 89 and 45,,,,0
N95,member family ''Batanesi'',,,member,Batanesi,0
N96,enterpreneur,,arrested,enterpreneur,Unknown,1
N97,member family ''Batanesi'',,arrested,member,Batanesi,1
N98,,,arrest request denied,,,0
N99,,external partnership, arrested,,,1
N100,farmer,external partnership,,farmer,Unknown,0
N101,,phone tapped with 14,,,,0
N102,,,arrest request denied,,,0
N103,,phone tapping with 18,,,,0
N104,enterpreneur,,,enterpreneur,Unknown,0
N105,land owner,in contact with 37,,land owner,Unknown,0
N106,,phone tapping with 107,,,,0
N107,bar owner,phone tapped with 106,,bar owner,Unknown,0
N108,walking fishmonger,phone tapped with 18,,walking fishmonger,Unknown,0
N109,on-existent enterpreneur created during a scam,,,on-existent enterpreneur created during a scam,Unknown,0
N110,,external partnership,,,,0
N111,,phone tapping with 109,,,,0
N112,,external partnership,,,,0
N113,,external partnership,,,,0
N114,road haulier,external partnership,,road haulier,Unknown,0
N115,road haulier,external partnership,,road haulier,Unknown,0
N116,accountant employee of 113,accountant employee of 113,,accountant employee of 113,Unknown,0
N117,,phone tapping with 37,,,,0
N118,,external partnership,,,,0
N119,,nominee owner of the phone number used by 15,,,,0
N121,,nominee owner of the phone number used by 147,,,,0
N123,,Common-law wife of 47,,,,0
N124,,phone tapping with various members,,,,0
N125,member family ''Batanesi'',,,member,Batanesi,0
N126,,sighted and phone tapped several times,,,,0
N127,,phone tapped with 37,,,,0
N128,enterpreneur,,arrested,enterpreneur,Unknown,1
N129,,phone tapped with 37,,,,0
N130,,phone tapped with 37,,,,0
N131,,phone tapped with 37,,,,0
N132,,phone tapped with 18,,,,0
N133,City employee,phone tapped with 37,,City employee,Unknown,0
N134,,phone tapped with 37,,,,0
N136,,common-law wife of 27,,,,0
N137,enterpreneur,,,enterpreneur,Unknown,0
N138,lawyer,in contact with 27,,lawyer,Unknown,0
N139,enterpreneur,,,enterpreneur,Unknown,0
N140,enterpreneur,,,enterpreneur,Unknown,0
N143,member family ''Mistretta'',,,member,Mistretta,0
N144,member family ''Mistretta'',,,member,Mistretta,0
N145,,mother of 13,,,,0
N146,,phone tapped with 18,,,,0
N147,,phone tapped with 44,,,,0
N148,,wife of 149,,,,0
N149,Co-founder of family ''Batanesi'',,in jail,Co-founder of,Batanesi,1
N150,,,in jail,,,1
N151,member family ''Batanesi'',,arrested,member,Batanesi,1
N152,,phone tapped with 15,,,,0
N153,,sells a car to 34,,,,0
N154,,,arrest request denied,,,0
