Node,degree,weighted_degree,in_strength,out_strength,pagerank,betweenness,weak_component,weak_component_size,Role,Relationship,Request,family_role,family,arrested,neighbor_count,surviving_neighbor_count,cross_family_reach,role_priority_score,pagerank_pct,betweenness_pct,surviving_neighbor_count_pct,cross_family_reach_pct,role_priority_score_pct,interrogation_priority_score
N50,8,29.0,28.0,29.0,0.015481250032212764,0.00016996891996891997,1,135,member family ''Batanesi'',,arrested,member,Batanesi,1.0,8,2,0,2,0.6829268292682927,0.36585365853658536,0.5,0.08536585365853659,0.6585365853658537,0.47500000000000003
N85,8,9.0,9.0,9.0,0.008118504794106493,0.0,1,135,enterpreneur,external partnership,arrested,enterpreneur,Unknown,1.0,8,6,3,1,0.4634146341463415,0.15853658536585366,0.8292682926829268,0.5609756097560976,0.3170731707317073,0.46036585365853666
N64,7,17.0,18.0,14.0,0.01080392084817713,0.011363636363636364,1,135,enterpreneur,,arrested,enterpreneur,Unknown,1.0,7,0,4,1,0.5121951219512195,0.5609756097560976,0.15853658536585366,0.6341463414634146,0.3170731707317073,0.45243902439024397
N49,5,7.0,7.0,5.0,0.005618606377342803,0.010392385392385392,1,135,member family ''Batanesi'',,house arrest,member,Batanesi,1.0,5,2,1,2,0.34146341463414637,0.5365853658536586,0.5,0.24390243902439024,0.6585365853658537,0.43902439024390244
N70,7,27.0,23.0,26.0,0.01319802645385017,0.0,1,135,member family ''Batanesi'',,arrested,member,Batanesi,1.0,7,1,2,2,0.5853658536585366,0.15853658536585366,0.3780487804878049,0.4146341463414634,0.6585365853658537,0.4189024390243903
N77,6,11.0,6.0,11.0,0.004582672272156011,0.007867132867132868,1,135,member family ''Mistretta'',,arrested,member,Mistretta,1.0,6,3,0,2,0.2682926829268293,0.5121951219512195,0.5853658536585366,0.08536585365853659,0.6585365853658537,0.40426829268292686
N66,3,7.0,8.0,6.0,0.00877455529118059,0.0006798756798756799,1,135,enterpreneur,,arrested,enterpreneur,Unknown,1.0,3,0,3,1,0.4878048780487805,0.4146341463414634,0.15853658536585366,0.5609756097560976,0.3170731707317073,0.3975609756097561
N54,7,15.0,10.0,14.0,0.006417053647776332,0.0,1,135,enterpreneur,,arrested,enterpreneur,Unknown,1.0,7,1,5,1,0.3902439024390244,0.15853658536585366,0.3780487804878049,0.6829268292682927,0.3170731707317073,0.36646341463414633
N63,5,9.0,9.0,8.0,0.0075707984994068875,9.712509712509713e-05,1,135,enterpreneur,,arrested,enterpreneur,Unknown,1.0,5,1,1,1,0.43902439024390244,0.34146341463414637,0.3780487804878049,0.24390243902439024,0.3170731707317073,0.36097560975609755
N33,4,9.0,5.0,9.0,0.0052510853475195175,4.856254856254856e-05,1,135,,external partnership,arrested,,,1.0,4,2,2,0,0.3170731707317073,0.3170731707317073,0.5,0.4146341463414634,0.07317073170731707,0.34390243902439027
N52,3,4.0,3.0,4.0,0.0030810173823446214,0.005536130536130536,1,135,enterpreneur,,arrested,enterpreneur,Unknown,1.0,3,1,2,1,0.13414634146341464,0.47560975609756095,0.3780487804878049,0.4146341463414634,0.3170731707317073,0.3286585365853658
N99,4,10.0,1.0,10.0,0.0019607835368514685,0.005536130536130536,1,135,,external partnership, arrested,,,1.0,4,1,1,0,0.0975609756097561,0.47560975609756095,0.3780487804878049,0.24390243902439024,0.07317073170731707,0.2676829268292683
N67,1,1.0,6.0,1.0,0.007148538161972562,0.0,1,135,enterpreneur,,arrested,enterpreneur,Unknown,1.0,1,0,1,1,0.4146341463414634,0.15853658536585366,0.15853658536585366,0.24390243902439024,0.3170731707317073,0.26402439024390245
N21,2,3.0,4.0,3.0,0.00391671361821614,0.0,1,135,enterpreneur,,arrested,enterpreneur,Unknown,1.0,2,0,2,1,0.21951219512195122,0.15853658536585366,0.15853658536585366,0.4146341463414634,0.3170731707317073,0.23109756097560977
N128,1,2.0,4.0,2.0,0.005200097963669077,0.0,1,135,enterpreneur,,arrested,enterpreneur,Unknown,1.0,1,0,1,1,0.2926829268292683,0.15853658536585366,0.15853658536585366,0.24390243902439024,0.3170731707317073,0.2274390243902439
N97,4,6.0,5.0,5.0,0.003739554126871731,0.0,1,135,member family ''Batanesi'',,arrested,member,Batanesi,1.0,4,0,0,2,0.1951219512195122,0.15853658536585366,0.15853658536585366,0.08536585365853659,0.6585365853658537,0.20853658536585368
N96,3,4.0,3.0,4.0,0.0030810173823446214,0.0,1,135,enterpreneur,,arrested,enterpreneur,Unknown,1.0,3,0,2,1,0.13414634146341464,0.15853658536585366,0.15853658536585366,0.4146341463414634,0.3170731707317073,0.20548780487804877
N149,1,1.0,1.0,0.0,0.0018921417265758771,0.0,1,135,Co-founder of family ''Batanesi'',,in jail,Co-founder of,Batanesi,1.0,1,0,0,4,0.06097560975609756,0.15853658536585366,0.15853658536585366,0.08536585365853659,0.9878048780487805,0.20121951219512196
N62,1,2.0,2.0,2.0,0.003251657765365591,0.0,1,135,enterpreneur,,arrested,enterpreneur,Unknown,1.0,1,0,1,1,0.17073170731707318,0.15853658536585366,0.15853658536585366,0.24390243902439024,0.3170731707317073,0.19085365853658537
N151,2,5.0,1.0,4.0,0.0018921417265758771,0.0,1,135,member family ''Batanesi'',,arrested,member,Batanesi,1.0,2,0,0,2,0.06097560975609756,0.15853658536585366,0.15853658536585366,0.08536585365853659,0.6585365853658537,0.16829268292682925
N150,1,1.0,0.0,1.0,0.0013032175670621051,0.0,1,135,,,in jail,,,1.0,1,0,1,0,0.024390243902439025,0.15853658536585366,0.15853658536585366,0.24390243902439024,0.07317073170731707,0.1225609756097561
